Filename,Total Lines,TEXT Lines,FORM Lines,TABLE Lines,TEXT Chars,FORM Chars,TABLE Chars,TEXT Avg Len,FORM Avg Len,TABLE Avg Len
document_part_classification_68.xml,10,0,10,0,0,533,0,0.00,53.30,0.00
document_part_classification_69.xml,6,0,6,0,0,180,0,0.00,30.00,0.00
document_part_classification_7.xml,37,1,36,0,1601,5346,0,1601.00,148.50,0.00
document_part_classification_70.xml,15,4,11,0,1651,363,0,412.75,33.00,0.00
document_part_classification_71.xml,20,0,20,0,0,1224,0,0.00,61.20,0.00
document_part_classification_72.xml,15,3,12,0,1666,778,0,555.33,64.83,0.00
document_part_classification_73.xml,6,2,4,0,597,255,0,298.50,63.75,0.00
document_part_classification_74.xml,21,0,21,0,0,994,0,0.00,47.33,0.00
document_part_classification_75.xml,17,1,16,0,627,1242,0,627.00,77.62,0.00
document_part_classification_76.xml,30,0,30,0,0,1396,0,0.00,46.53,0.00
document_part_classification_77.xml,12,0,12,0,0,580,0,0.00,48.33,0.00
document_part_classification_78.xml,41,0,41,0,0,3071,0,0.00,74.90,0.00
document_part_classification_79.xml,8,2,6,0,1212,534,0,606.00,89.00,0.00
document_part_classification_8.xml,8,1,7,0,262,325,0,262.00,46.43,0.00
document_part_classification_80.xml,7,1,6,0,270,212,0,270.00,35.33,0.00
document_part_classification_81.xml,15,3,12,0,1168,744,0,389.33,62.00,0.00
document_part_classification_82.xml,32,0,0,32,0,0,2891,0.00,0.00,90.34
document_part_classification_83.xml,6,2,4,0,631,125,0,315.50,31.25,0.00
document_part_classification_84.xml,28,0,28,0,0,1753,0,0.00,62.61,0.00
document_part_classification_85.xml,6,1,5,0,495,265,0,495.00,53.00,0.00
document_part_classification_86.xml,117,3,25,89,1141,1295,8520,380.33,51.80,95.73
document_part_classification_87.xml,26,5,21,0,2906,1492,0,581.20,71.05,0.00
document_part_classification_88.xml,19,3,16,0,1264,1301,0,421.33,81.31,0.00
document_part_classification_89.xml,14,1,13,0,289,921,0,289.00,70.85,0.00
document_part_classification_9.xml,30,0,30,0,0,2481,0,0.00,82.70,0.00
document_part_classification_90.xml,6,0,6,0,0,414,0,0.00,69.00,0.00
document_part_classification_91.xml,14,0,14,0,0,639,0,0.00,45.64,0.00
document_part_classification_92.xml,3,0,3,0,0,111,0,0.00,37.00,0.00
document_part_classification_93.xml,23,2,21,0,1178,1447,0,589.00,68.90,0.00
document_part_classification_94.xml,21,0,21,0,0,1512,0,0.00,72.00,0.00
document_part_classification_95.xml,3,1,2,0,499,124,0,499.00,62.00,0.00
document_part_classification_96.xml,8,1,7,0,272,448,0,272.00,64.00,0.00
document_part_classification_97.xml,18,1,17,0,301,605,0,301.00,35.59,0.00
document_part_classification_98.xml,11,0,11,0,0,502,0,0.00,45.64,0.00
document_part_classification_99.xml,50,0,50,0,0,1190,0,0.00,23.80,0.00
TOTAL,12852,891,7437,4524,569453,487687,378186,639.12,65.58,83.60
